ApplicationKey,ModelKey,EnvironmentKey,VirtualKey,TeamKey,CandidateKey,RowCount
3.1934721377068744e+18,1.4252200514331027e+19,1.5484688019640574e+19,9.197396520324871e+18,1.185040210745942e+18,13532767226202687488,1
3.1934721377068744e+18,1.4252200514331027e+19,1.5484688019640574e+19,9.197396520324871e+18,1.185040210745942e+18,13532767226202687488,1
3.1934721377068744e+18,1.4252200514331027e+19,1.5484688019640574e+19,9.197396520324871e+18,1.185040210745942e+18,13532767226202687488,1
3.1934721377068744e+18,3.5919407474125486e+18,1.5484688019640574e+19,9.197396520324871e+18,1.185040210745942e+18,4320723658245943296,1
3.1934721377068744e+18,3.5919407474125486e+18,1.5484688019640574e+19,9.197396520324871e+18,1.185040210745942e+18,4320723658245943296,1
1.3662277598089075e+19,1.648667494076687e+19,1.5484688019640574e+19,9.197396520324871e+18,0.0,13532767226202687488,1
8.564547254283368e+18,7.397697892821142e+18,1.5484688019640574e+19,9.197396520324871e+18,0.0,4320723658245943296,1
4.847446773019625e+18,4.453068473741222e+18,1.5484688019640574e+19,9.197396520324871e+18,1.185040210745942e+18,4320723658245943296,1
4.847446773019625e+18,4.453068473741222e+18,1.5484688019640574e+19,9.197396520324871e+18,1.185040210745942e+18,4320723658245943296,1
1.3574369899776506e+19,1.4252200514331027e+19,1.5484688019640574e+19,9.197396520324871e+18,0.0,13532767226202687488,1
1.7004773942686763e+19,8.623804074354514e+18,1.5484688019640574e+19,9.197396520324871e+18,1.180474217364753e+19,13532767226202687488,1
6.894500110228243e+18,1.4252200514331027e+19,1.5484688019640574e+19,9.197396520324871e+18,7.708051643931653e+17,13532767226202687488,1
6.894500110228243e+18,1.4252200514331027e+19,1.5484688019640574e+19,9.197396520324871e+18,7.708051643931653e+17,13532767226202687488,1
6.894500110228243e+18,1.4252200514331027e+19,1.5484688019640574e+19,9.197396520324871e+18,7.708051643931653e+17,13532767226202687488,1
